,Random Forest,XGBoost,SVM
tahun,0.21557032596142417,0.6122836,0.1575542733871095
NIK,0.02373762617272374,0.01815148,0.04291072628631013
NISN,0.09112272872020157,0.020391967,0.03367746682200541
No. Handphone,0.023034711594124575,0.031120166,0.04092833885972196
jalur,0.22527214868765608,0.11284825,0.05544723854932471
Status DTKS,0.0031110896128195976,0.0,0.003971653210591841
Status P3KE,0.023477107840739232,0.0085923355,0.014415763557492958
Asal Sekolah,0.013337681380303515,0.0061141215,0.009226489320262347
Kab/Kota Sekolah,0.005896259099081134,0.0033245815,0.009886176955435347
Provinsi Sekolah,0.0026628963636470067,0.0,0.00661176639028178
Tempat Lahir,0.019485596594276525,0.005665626,0.01804576643919875
Tanggal Lahir,0.059462847926223174,0.020779347,0.0065048905390158295
Jenis Kelamin,0.003345710103384593,0.0,0.006112366101112045
Alamat Tinggal,0.04796923216059965,0.0042406605,0.009188876071606247
Alamat Email,0.07757271538371063,0.012624754,0.00627433437948908
Pekerjaan Ayah,0.005791449316544749,0.0028472077,0.0033770778224488825
Penghasilan Ayah,0.0020046129115930057,0.0,0.007138131104253534
Status Ayah,0.0014457008385520371,0.0,0.0041229463973036316
Pekerjaan Ibu,0.0036998918465211256,0.0,0.010382529455428332
Penghasilan Ibu,0.0009550952523025558,0.0,0.005476543695835083
Status Ibu,0.0013646780901514373,0.0,0.0072748861620889355
Jumlah Tanggungan,0.02371588932185966,0.027120804,0.007061529820178004
Kepemilikan Rumah,0.0010393089911268428,0.0,0.008854906646477166
Tahun Perolehan,0.0025510063648904934,0.0,0.01272150978310104
Sumber Listrik,0.0005756837800713889,0.0,0.012553996781288162
Luas Tanah,0.0013249326163041236,0.0,0.01174836931003679
Luas Bangunan,0.0013244685440949547,0.0,0.009199655329037633
Sumber Air,0.0016456878263285775,0.0,0.0063890847310896035
MCK,0.001499507110416948,0.0,0.012345650108531345
Jarak Pusat Kota (KM),0.0012044874728970101,0.0,0.006713234336647757
Tanggal Dicalonkan,0.06457518304172487,0.0591289,0.012618350086608382
User Pencalonan,0.0,0.0,0.0
Prestasi,0.006896402760469732,0.0,0.006743458929560642
SNMPN,0.0,0.0,0.0
SBMPN,0.0,0.0,0.0
Seleksi Mandiri PTN,0.0016917236895002737,0.0,0.01013843543273786
SNBP,0.010414260586076012,0.0,0.008062259506160695
UTBK-SNBT,0.03122135203765895,0.05476613,0.015948644949911137
Seleksi Mandiri PTS,0.0,0.0,1.418949593240404e-18
